teamstatspk,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
123,0.646,108,38.6,85.1,45.4,12,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6,2016-17
124,0.622,110.3,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4,4.3,18.1,20.6,3.2,2016-17
125,0.622,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9,34,43,22.5,13,7.5,4.2,3.1,19.8,22.4,4.3,2016-17
126,0.622,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2,2016-17
127,0.622,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5,3.8,18.8,20.2,3.9,2016-17
128,0.598,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8,2016-17
129,0.573,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21,15,7.9,5,5.5,20.9,20.7,0.8,2016-17
130,0.524,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9,2016-17
131,0.524,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,12.9,8,4.2,5,22.4,20.8,0.5,2016-17
132,0.512,105.1,39.3,84.5,46.5,8.6,23,37.6,17.9,22.1,81,9,33,42,22.5,13.8,8.2,5,5,19.5,19.5,-0.2,2016-17
133,0.512,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3,-0.2,2016-17
134,0.5,102.9,38.6,87.1,44.4,7.6,22.3,34,18,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,0.4,2016-17
135,0.5,103.2,39,85.8,45.5,9.9,27,36.5,15.2,21.6,70.6,10.6,33,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,1.1,2016-17
136,0.5,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78,10.1,33.5,43.7,21.1,13.7,7,5,5.3,21.2,19.8,-0.5,2016-17
137,0.488,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15,6.9,3.9,4.9,19.1,20.2,0.5,2016-17
138,0.451,101.3,39.9,88.8,44.9,7.7,23.4,33,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7,3.8,4.1,17.9,17.5,-1.1,2016-17
139,0.439,104.9,37.7,85.4,44.2,10,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7,4.8,5.5,16.6,19.9,0.2,2016-17
140,0.415,104.3,39.1,87,45,9.4,26.8,35,16.7,22.3,75,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,-2.1,2016-17
141,0.402,97.9,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9,2016-17
142,0.39,102.8,37.9,82.1,46.1,9,23.9,37.6,18.1,23.3,77.5,8.7,32.3,41.1,22.5,14.6,7.6,4,5.1,20.3,20.1,-3.9,2016-17
143,0.378,105.6,39.5,84.4,46.7,7.3,21,34.9,19.3,24.2,79.9,11.4,31,42.4,23.7,14,8,4.5,5,20.1,20.5,-1.1,2016-17
144,0.378,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12,33.2,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5,-3.7,2016-17
145,0.354,101.1,38.3,87,44,8.5,26.1,32.8,16,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7,-6.6,2016-17
146,0.341,102.4,37.7,85.3,44.2,10.1,29.8,34,17,22,77.1,9.8,33,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6,-5.7,2016-17
147,0.317,104.6,39.3,87.4,45,8.9,25.7,34.6,17,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,-6.9,2016-17
148,0.293,107.7,39.9,88.5,45,7.5,22.6,33.2,20.4,26.3,77.6,11.9,33.1,45,19.6,15.4,8.2,4.9,5.3,24.8,22.2,-5.6,2016-17
149,0.244,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21,20.4,-6.7,2016-17
150,0.89,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,2015-16
151,0.817,103.5,40.1,82.9,48.4,7,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6,2015-16
152,0.695,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6,2015-16
153,0.683,102.7,36.7,81.3,45.1,8.6,23.4,37,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22,4.5,2015-16
154,0.671,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2,7.3,2015-16
155,0.646,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,13,8.6,5.6,3.2,21.3,22.5,4.3,2015-16
156,0.585,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,3.6,2015-16
157,0.585,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21,3.2,2015-16
158,0.585,103.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7,2015-16
159,0.585,100,38.4,81.7,47,6.1,18,33.6,17.1,23,74.4,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6,2015-16
160,0.549,102.2,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9,4.8,4.5,20,20.4,1.7,2015-16
161,0.537,102,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7,3.7,4.5,19,21.6,0.6,2015-16
162,0.537,105.1,38.6,85.9,45,10.5,28.5,37,17.4,23,75.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8,2015-16
163,0.512,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,-1.5,2015-16
164,0.512,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3,2015-16
165,0.512,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2,2015-16
166,0.5,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5,0.2,2015-16
167,0.5,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5,2015-16
168,0.488,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,2015-16
169,0.427,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,2015-16
170,0.402,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,2015-16
171,0.402,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.7,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,2015-16
172,0.402,106.6,40,86.4,46.4,8,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22,-2.5,2015-16
173,0.39,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,2015-16
174,0.366,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,2015-16
175,0.354,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,2015-16
176,0.28,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7,2015-16
177,0.256,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,2015-16
178,0.207,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,2015-16
179,0.122,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,2015-16
180,0.817,110,41.6,87,47.8,10.8,27,39.8,16,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,10.1,2014-15
181,0.732,102.5,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,2014-15
182,0.683,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4,2014-15
183,0.683,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6,2014-15
184,0.671,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,2014-15
185,0.671,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78,9.8,33.8,43.6,24.4,14,8,5.4,4.4,19.1,19.7,6.2,2014-15
186,0.646,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,2014-15
187,0.622,102.8,38.7,86,45,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,2014-15
188,0.61,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3,2014-15
189,0.61,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9,2014-15
190,0.598,104,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,3.1,2014-15
191,0.561,98.5,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,0.7,2014-15
192,0.549,99.4,37.9,82.9,45.7,7.1,19.3,37,16.4,21.8,75.1,11.5,32,43.5,22,13.3,6.7,6.2,5.8,18.7,18.7,0.8,2014-15
193,0.549,104,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,2.2,2014-15
194,0.5,97.8,37.6,82,45.9,6.6,18.3,36.3,16,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4,2014-15
195,0.488,101.4,38.9,87.9,44.3,8,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,0.2,2014-15
196,0.476,102.4,38.8,85.8,45.2,8.5,25,34.1,16.4,21.5,76,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9,2014-15
197,0.463,98,37.4,83,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,-2.9,2014-15
198,0.463,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,0.3,2014-15
199,0.463,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17,23.5,72.1,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,0.2,2014-15
200,0.451,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,-2.6,2014-15
201,0.402,94.2,35.5,84.5,42,6.1,19.1,31.8,17,22.8,74.8,10,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2,2014-15
202,0.39,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,-1,2014-15
203,0.366,101.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,-3.5,2014-15
204,0.354,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,-3.7,2014-15
205,0.305,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,-5.7,2014-15
206,0.256,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4,-6.8,2014-15
207,0.22,92,33.7,82.6,40.8,8.4,26.3,32,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,-9,2014-15
208,0.207,91.9,35.1,82,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1,-9.3,2014-15
209,0.195,97.8,36.4,83.2,43.8,5,14.9,33.2,20,25.7,77.6,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,-8.8,2014-15
210,0.756,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20,78.5,9.3,34,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7,2013-14
211,0.72,106.2,39,82.7,47.1,8.1,22.4,36.1,20.2,25,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3,2013-14
212,0.695,107.9,39.1,82.5,47.4,8.5,24,35.2,21.2,29.1,73,10.5,32.5,43,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7,2013-14
213,0.683,96.7,36,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,2013-14
214,0.659,107.7,38,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,2013-14
215,0.659,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23,76,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,2013-14
216,0.659,106.7,39.1,87,45,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4,2013-14
217,0.622,104.3,39.5,85.4,46.2,9.4,24.8,38,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5,4.2,21.8,19.3,4.8,2013-14
218,0.61,96.1,38.1,82,46.4,4.9,14,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9,1.6,2013-14
219,0.598,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20,19.9,2.4,2013-14
220,0.585,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6,19.1,20.9,1.9,2013-14
221,0.585,105.2,38.7,83.5,46.3,9.3,25.1,37.2,18.5,24.4,75.8,11.3,31.7,43,19.1,15.3,8.4,4.6,4,21.9,21.3,2.6,2013-14
222,0.585,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,14.1,7,4.2,4.3,23,22.1,3.2,2013-14
223,0.537,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1,2013-14
224,0.537,100.7,38.7,84.4,45.9,7.9,20.8,38,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3,2013-14
225,0.524,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,-0.2,2013-14
226,0.488,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,2.7,2013-14
227,0.463,101,37.3,81.6,45.8,9.4,25.8,36.3,17,21.7,78.1,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,-0.5,2013-14
228,0.451,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20,13,7.7,4.5,3.4,22.1,19.6,-0.8,2013-14
229,0.439,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,-2.1,2013-14
230,0.415,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7,2013-14
231,0.402,98.2,37,84.8,43.7,7.1,20,35.6,17,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,-3.3,2013-14
232,0.354,101,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7,2013-14
233,0.341,100.5,36.9,82.5,44.7,6,18,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,-2.9,2013-14
234,0.329,103,38.3,85.1,45,9.4,24.8,38.1,17,22.4,75.7,9.1,32,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3,-6.3,2013-14
235,0.305,96.2,36.5,83.9,43.5,7,21.1,33.3,16.2,20.8,77.7,12,30.5,42.5,21,15.4,7.1,4.2,4.5,21.3,19.1,-4.5,2013-14
236,0.305,95,36,81.1,44.4,6.6,19.2,34.4,16.4,22,74.7,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,-7.2,2013-14
237,0.28,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42,21,14.9,7.7,4.3,5.4,20.5,18.3,-5.4,2013-14
238,0.232,99.5,37.9,87.2,43.5,7,22.5,31.2,16.6,23.4,71,11.6,31.2,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6,-10.5,2013-14
239,0.183,95.5,36,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6,-8.2,2013-14
240,0.805,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23,75.4,8.2,30.4,38.6,23,13.9,8.7,5.4,3.2,18.7,20.4,7.9,2012-13
241,0.732,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,9.2,2012-13
242,0.707,103,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21,79.1,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,6.4,2012-13
243,0.695,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,2012-13
244,0.683,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,2012-13
245,0.683,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14,8.6,5.3,5.5,20.2,20,4.1,2012-13
246,0.659,100,36.5,81.6,44.8,10.9,28.9,37.6,16,21.1,75.9,10.9,29.7,40.6,19.3,12,8.2,3.6,4,20.1,19.2,4.2,2012-13
