teamstatspk,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
498,0.451,95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12,29.9,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0,-0.8,2004-05
499,0.439,99.5,37,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0,-2.2,2004-05
500,0.415,98.7,36.9,85.8,43,7.6,21.6,35.2,17.2,23.8,72.2,13,29.7,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0,-2.2,2004-05
501,0.415,98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0,-3,2004-05
502,0.402,97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41,20.3,14.7,7.7,3.2,4.7,23.7,0.1,-2.4,2004-05
503,0.402,99.7,36,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0,-1.6,2004-05
504,0.366,97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,13.8,6.5,3.5,4.5,21.9,0.1,-3,2004-05
505,0.329,92.9,35.3,78.3,45.1,5.1,14.2,36.2,17.2,23.7,72.5,11.8,29.3,41.1,21,16,7.1,6.6,5,20.8,0.1,-4,2004-05
506,0.317,93,34.5,76.8,44.9,3,9.3,32.8,21,27.7,75.7,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0,-4.3,2004-05
507,0.22,94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,14.5,8.5,5.4,5.4,23.1,0,-6,2004-05
508,0.22,88.4,33.1,80,41.5,5.1,16,31.5,17.1,22.3,76.6,12.4,27.8,40.2,21,14.8,6.7,3.8,5.5,23,0,-7.1,2004-05
509,0.159,92.7,35.9,81.4,44.1,3.7,11.9,31.2,17.3,24.3,71.1,13.4,28.5,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0,-9.7,2004-05
510,0.744,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5,6.2,20.8,0.1,5.8,2003-04
511,0.707,94.5,37,80.1,46.2,4,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1,5.5,2003-04
512,0.695,91.5,34.7,78.5,44.2,5,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0,7.2,2003-04
513,0.683,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,2003-04
514,0.671,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4,5,19.3,0,5,2003-04
515,0.659,90.1,33.5,77,43.5,4.1,11.8,34.4,19,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8,7,5,20.3,0,5.8,2003-04
516,0.634,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18,22.6,79.6,14.3,31,45.3,23.9,12.2,8,5.3,4.7,19.6,0,4.4,2003-04
517,0.61,96.7,36.1,81.2,44.5,5.5,16,34,19,26.1,72.7,12.8,29,41.8,23.4,15,9.7,6.9,5.6,23.2,0,2.4,2003-04
518,0.573,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21,0.1,2.5,2003-04
519,0.549,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0,1.7,2003-04
520,0.524,97.2,36.5,82.5,44.3,4,12,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22,0.1,1.1,2003-04
521,0.512,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0,0.5,2003-04
522,0.512,88.7,32.8,75.3,43.6,3.1,9.6,32.1,20,26.8,74.6,13.5,27.7,41.2,20.4,16.6,7.1,6,6.5,25.6,0.1,-1.2,2003-04
523,0.5,98,36.2,81.1,44.7,4.9,14,35,20.7,26.7,77.5,11.7,30.5,42.2,22.8,13.5,6.8,4.7,5,20.3,0,1.1,2003-04
524,0.5,91.8,33.8,80.5,42,6.5,20.3,31.9,17.7,23.6,75.1,13.3,29.5,42.8,20.9,15,8.6,4.2,5.2,20.9,0.1,-0.1,2003-04
525,0.5,90.7,35.3,78.9,44.8,4.6,13.4,34.6,15.4,21.1,73.1,12.7,29,41.7,21.6,14.8,7.5,5.4,4.8,19,0,-1.3,2003-04
526,0.476,92,35.1,79.4,44.2,5,13.6,36.4,16.8,21.1,79.3,11.6,31,42.6,20.7,15.7,7.4,4.8,4.7,23.1,0,-1.5,2003-04
527,0.451,93.3,35.1,79.4,44.2,5.2,15.6,33.4,17.9,24.7,72.5,12.2,30.9,43.1,20.5,14.8,7,4.7,5.1,20.6,0,-0.7,2003-04
528,0.451,97.1,35.8,80.4,44.6,8.8,23.6,37.3,16.6,21.7,76.5,11.1,28.3,39.3,21.7,14.5,8.1,4.7,4.7,21.8,0.1,-0.6,2003-04
529,0.439,95.3,34.7,78.2,44.3,6.7,19.5,34.6,19.2,25.5,75,10.4,29.8,40.1,20.5,16.2,9.4,4,5,22.4,0,-1.5,2003-04
530,0.427,92.9,35.6,82.4,43.3,3,9.6,31.4,18.6,24.8,75.3,13.6,31.9,45.6,22,14.8,7.1,6.5,5.3,21.3,0,-2.6,2003-04
531,0.402,88,32.7,76.3,42.8,4.1,12.1,34.2,18.4,24.5,75.3,11.5,29.4,40.8,20,15.9,8,4.4,5.6,20.7,0,-2.5,2003-04
532,0.402,85.4,32.4,77.4,41.8,5.6,15.8,35.6,15.1,20.1,75,10.1,29.5,39.6,19.2,14.2,7.4,4.9,4.1,21.3,0,-3,2003-04
533,0.354,94.2,36.1,81.4,44.3,5.1,14.7,34.5,17,22.7,74.6,11.3,29.3,40.6,19.3,15.2,9,4.7,5.3,22.7,0,-3.7,2003-04
534,0.341,92.8,34.5,79.6,43.3,5.1,15.2,33.5,18.7,24.1,77.6,12.1,30.6,42.7,20.1,16.5,7.6,5,5.1,22.3,0,-4.6,2003-04
535,0.341,94.8,34.4,80.2,42.8,4,12.5,32.1,22,28.1,78.5,14,29.5,43.5,20.2,16.4,7.2,4.6,5.3,22.1,0,-4.6,2003-04
536,0.305,91.8,33.6,80,42.1,5.3,15.5,34.2,19.3,27,71.4,13.6,29.2,42.8,18.7,17.5,8.9,5,5.5,20.9,0,-5.6,2003-04
537,0.28,89.7,34.1,82.4,41.4,5.2,15.3,34.2,16.2,22.4,72.5,12.8,30.7,43.5,21.9,16.1,8,4.8,5.4,23.3,0,-6.4,2003-04
538,0.256,94,35.4,82.5,42.9,5.2,15.2,34.4,18,24.4,73.7,12.2,28.7,40.9,19.3,13.7,6.7,3.8,5.5,21.3,0,-7,2003-04
539,0.732,103,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1,7.8,2002-03
540,0.732,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20,15.8,7.7,6.5,5.1,20.4,0,5.4,2002-03
541,0.72,101.7,39.5,85.2,46.4,6,15.7,38.1,16.7,22.3,74.6,11,33.5,44.5,24.8,14.5,9,5.6,4.3,20.3,0,6.5,2002-03
542,0.622,98.1,38.7,83,46.6,3.6,9.8,36.8,17.1,22.3,77,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0,2.1,2002-03
543,0.61,91.4,32.9,76.5,43,6.5,18.1,35.8,19,24.6,77.1,10.8,29.8,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2,3.7,2002-03
544,0.61,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19,26,73.4,13.1,31.1,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1,2.3,2002-03
545,0.61,95.2,36.4,79.2,46,4.6,14,33,17.7,23.7,74.5,12.1,29,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,2.6,2002-03
546,0.598,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23,14.8,8.7,4.6,5.2,21.6,0.1,5.2,2002-03
547,0.585,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1,3.5,2002-03
548,0.585,96.8,36.3,81,44.8,3,9.6,31.1,21.3,27.5,77.5,12.7,29.5,42.2,21.6,14.8,10.3,3.5,6.4,22,0.1,2.3,2002-03
549,0.573,93.9,35.5,81.6,43.5,4.9,13.1,37.6,17.9,23.3,76.8,13.4,30.2,43.6,22,14.8,8,4.8,5.2,21.6,0.1,2.1,2002-03
550,0.573,94.7,35.3,75.5,46.8,2.7,7.8,34.9,21.3,28.6,74.5,12.5,29,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1,2.4,2002-03
551,0.537,92.7,32.9,79.4,41.5,8.8,26.3,33.4,18,24.3,74.2,10.4,30.1,40.5,19.2,14,8.8,3.7,4.5,21.4,0,-0.4,2002-03
552,0.537,95.5,36.6,82.6,44.3,4.8,14,34.3,17.4,23.5,74.2,12.8,29.8,42.5,21,14.7,8.1,4.9,5.5,22,0.1,1.1,2002-03
553,0.524,93.8,34.6,78.8,44,5.4,15.5,34.6,19.1,24.9,76.8,12.5,31.3,43.8,18.4,15.6,7.2,6,4.6,19.5,0.1,1.5,2002-03
554,0.512,99.5,37.1,81.3,45.7,7.1,18.6,38.3,18.1,23.3,77.6,10.7,28.9,39.5,22.2,12.7,7.6,4.2,4.1,22.2,0.1,0.2,2002-03
555,0.512,98.5,35.9,82.5,43.6,6.9,19.4,35.7,19.7,25.4,77.7,11.7,29.2,40.9,20.4,14.4,8.5,3.7,5,23,0.1,0.1,2002-03
556,0.488,92.1,35.2,80.5,43.7,5.6,15.7,35.3,16.2,21.7,74.4,11.7,29.1,40.8,21.6,13.2,8.3,3.6,5,20.9,0.1,-0.1,2002-03
557,0.463,102.4,37.3,84.6,44.1,5.2,15.1,34.4,22.6,29,77.8,15.7,31,46.7,20.9,15.8,7.2,6.2,6,21.8,0,-1.1,2002-03
558,0.451,95.9,36.2,82,44.1,7.4,19.3,38.3,16.1,19.8,81.5,10.3,29,39.2,22,14,7.1,3.1,3.8,23,0.1,-1.4,2002-03
559,0.451,91.5,34.3,78,44,3.1,9.9,31.2,19.7,25.3,77.9,11.2,29.2,40.4,19.7,13.4,7.6,4.8,4.4,20,0,-1,2002-03
560,0.427,94.1,34.9,78.5,44.4,4.9,13.9,35.2,19.4,24.5,79.3,11.4,31.2,42.6,20.5,16.7,7.5,5.8,5,21.7,0.1,-3.6,2002-03
561,0.366,95,36.5,81.9,44.5,4.3,12.2,35,17.7,24.6,72.2,12,31,43,21.7,16.9,7.4,5.6,5,24.7,0.1,-5.1,2002-03
562,0.341,97.5,37.2,82.2,45.2,5.7,15.6,36.5,17.4,23.6,73.9,11.5,30.1,41.6,23.1,15.4,7.9,6.1,5.2,20.5,0,-3.2,2002-03
563,0.329,93.8,34.6,79.1,43.7,4.8,14.4,33.1,19.9,26.5,75,12.3,30,42.3,19.6,15.7,7,5.6,5.1,21.8,0,-4.1,2002-03
564,0.305,85.6,32.8,79.5,41.2,4.2,13.4,31.6,15.8,20.6,76.5,11.6,30,41.6,18.3,14.2,7.2,4,5.3,22.6,0.1,-5,2002-03
565,0.293,90.9,34.7,81.3,42.7,5,14.5,34.3,16.5,22.9,71.8,12.5,28.7,41.2,19.3,14.4,7.4,4.8,5,21.5,0.1,-5.9,2002-03
566,0.207,91.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31,44.6,20.9,18.3,7.8,6.4,6,22.7,0.1,-9.6,2002-03
567,0.207,84.2,32.8,79.8,41.1,2.8,10,27.8,15.8,22.6,69.9,13.6,28.8,42.4,21.2,18.5,8.7,5.1,6.6,25.1,0.1,-8.3,2002-03
568,0.744,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33,45.3,23.9,13.8,9,4.6,4.7,19,0.1,7.6,2001-02
569,0.707,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23,12.7,7.6,5.8,4.3,22.2,0.1,7.1,2001-02
570,0.707,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20,14.4,7.6,6.5,5.2,19.2,0.1,6.2,2001-02
571,0.695,105.2,39,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3,2001-02
572,0.634,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6,5.4,21.1,0.1,4.2,2001-02
573,0.61,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1,2001-02
574,0.61,99.3,38.7,84,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5,21.2,0.1,3.4,2001-02
575,0.598,96.4,34.8,82.1,42.4,8.5,23.7,35.9,18.3,23.9,76.4,10.9,31.3,42.2,21,13.6,9.7,3.6,5.8,21.7,0,2.2,2001-02
576,0.598,96.6,36.6,81.4,45,5.7,16.1,35.4,17.7,23.2,76.3,13.2,29.8,43,23.5,14.3,8.6,4.5,5,19.7,0.1,3,2001-02
577,0.549,97.7,38.2,81.5,46.9,6,15.8,37.8,15.4,20.4,75.5,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,3,2001-02
578,0.537,93.9,35.3,80.2,44,4.2,12.1,34.8,19.1,25.7,74.5,12.9,30.5,43.5,21.5,14,8,5.6,5.1,21.3,0.2,1,2001-02
579,0.537,100.5,37.6,84,44.8,7.6,20.2,37.3,17.6,23.4,75.4,11.5,29.7,41.2,22,13.6,8.1,4.7,4.7,20.7,0.1,1.6,2001-02
580,0.537,96,35,77.7,45,3.4,10.3,33.3,22.6,29.6,76.3,13.5,28.6,42.2,24.4,16.5,9.1,6.4,6.7,24,0.1,0.9,2001-02
581,0.524,91,34.2,78.5,43.6,2.6,8.7,29.9,20,25.7,77.9,13.3,30.9,44.2,20,15.3,8.6,4.4,5.6,20.1,0.2,1.6,2001-02
582,0.512,96.8,35.8,80.2,44.6,4.9,14.6,33.9,20.3,26.3,77.2,11.3,31.3,42.7,23,15.2,8,5.3,5.7,22.9,0.2,0.3,2001-02
583,0.512,91.4,35.6,82,43.4,4.7,13.5,34.9,15.5,20.9,73.9,13.6,28.5,42.1,21.7,14.3,8.4,5.6,4.8,21.6,0.1,-0.4,2001-02
584,0.5,97.5,37.1,80.2,46.2,7.2,19.3,37.5,16.1,21.5,74.8,10.3,31.2,41.4,22.5,14.1,7.3,4.7,4.4,21.8,0.1,-0.2,2001-02
585,0.476,95.7,36.2,81.3,44.5,5,14,35.6,18.3,24.7,73.9,13.2,30.2,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1,-0.5,2001-02
586,0.451,92.8,35.8,81.3,44.1,3.7,9.6,38.8,17.4,22.8,76.5,12.9,29.2,42,20.9,13,7,4.3,5,21.5,0.1,-1.4,2001-02
587,0.439,87.2,34.2,77.8,43.9,3.8,11,34.7,15.1,20.8,72.4,11,31,42,20.3,14.8,6.7,5.5,4.3,22.5,0.2,-1.5,2001-02
588,0.439,95.1,37.8,84.6,44.7,4.4,13.4,32.7,15.2,19.9,76.7,13.1,29.6,42.7,22.4,14.7,8.1,4.9,5.8,21.8,0.1,-0.7,2001-02
589,0.402,94,35.4,80.6,43.9,5.2,14.6,35.4,18.1,23.7,76.5,11.6,29.8,41.5,20.2,15.5,8.1,4.3,6.2,20.8,0.1,-4.2,2001-02
590,0.366,91.6,34.4,79.5,43.2,5.8,16.4,35.3,17.1,21.8,78.7,10.7,30,40.7,21,14.5,6.8,3.5,4.7,22,0.2,-4,2001-02
591,0.354,95.3,36,80.3,44.8,4.7,12.5,37.7,18.6,24.1,77.2,11.8,30.3,42.1,23.1,14.6,7,5.7,5.6,21.4,0.1,-3.3,2001-02
592,0.341,92.3,34.6,80.8,42.8,6,18,33.5,17.1,23.1,74.1,12.5,29.4,41.9,18.1,14.1,6.5,5.4,5.1,18,0.1,-4.9,2001-02
593,0.329,92.2,35.5,83.8,42.4,5.2,15.7,32.9,15.9,21.4,74.4,13.6,28.2,41.8,22.2,14.7,7.5,5.6,6.8,22.8,0.1,-5.8,2001-02
594,0.28,89.9,34.8,79.7,43.6,4.1,13.4,30.7,16.3,23,70.8,12,29.4,41.4,21.8,16.4,7.9,6,5.6,19.2,0.1,-7.4,2001-02
595,0.256,89.5,34.3,79.2,43.3,3.7,10.6,34.6,17.2,23.9,72.2,11.3,28.8,40,22.2,15.3,7.7,4.4,4.9,22.4,0.2,-8.5,2001-02
596,0.256,97.7,36.6,85.2,42.9,3.9,12.1,32.2,20.6,28.6,72.2,16.3,30.4,46.7,20.8,16.8,7.9,6.4,6.3,23,0.2,-5.4,2001-02
597,0.707,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11,33.1,44.1,21.7,14,6.9,7,5.2,18.9,0,7.8,2000-01
598,0.683,100.6,37.9,81.5,46.5,5.4,15.5,34.4,19.4,28.5,68.3,13.2,31.5,44.7,23,14.4,6.9,6,4,22.8,0.1,3.4,2000-01
599,0.683,94.7,35.4,79.1,44.7,3.2,9.8,32.6,20.7,27.8,74.5,13.1,31.7,44.8,20.6,15.8,8.4,5,5.6,20.4,0,4.3,2000-01
600,0.671,101.7,38.2,85,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12,33,45,22.6,14.9,9.7,5.3,5.8,19.5,0,5.8,2000-01
601,0.646,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1,31.4,41.5,21.2,13.9,7.5,6,4.6,23.3,0.1,4.3,2000-01
602,0.646,97.1,36.1,76.7,47.1,4,10.4,38.1,20.9,27.8,75.2,11.5,29.1,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.1,4.7,2000-01
603,0.634,100.7,38,82.9,45.8,6.9,18.1,37.9,18,22.9,78.7,11.9,30.5,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1,3.9,2000-01
604,0.622,94,35.9,82.4,43.6,4,12.9,31.5,18.2,24.1,75.5,11.8,30.8,42.7,23.2,15.3,9.5,5.2,5.1,22.7,0.1,2.2,2000-01
605,0.61,88.9,32.9,76.3,43,5.8,16.9,34.5,17.4,22.9,75.9,9.9,29.7,39.6,19.9,13.7,7.7,3.7,5.2,21,0.1,2.3,2000-01
606,0.61,95.4,36.6,78.3,46.8,4.5,12.9,34.9,17.6,23.2,76.2,11.7,30.3,42,23.9,15.3,8.2,5.1,4,21.3,0.1,4.2,2000-01
607,0.585,88.7,33.6,75.6,44.4,4.8,13.6,35.1,16.8,21.1,79.6,9.4,30.8,40.2,18.5,14.5,6.6,4.2,4.1,22.7,0.1,2.6,2000-01
608,0.573,97.3,38.4,83.8,45.8,3.9,11,35.7,16.6,21.2,78.5,12.2,30.1,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1,1.4,2000-01
609,0.573,97.6,37.2,85,43.7,5.2,14.2,36.9,18.1,24.2,74.7,13.6,30.8,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.1,2.3,2000-01
610,0.561,91.9,34.1,79.3,43.1,4.1,12,34.6,19.5,26.2,74.5,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1,2.1,2000-01
611,0.549,97.2,35.9,79.2,45.3,6.1,17.2,35.7,19.3,25.4,75.8,11.2,30.8,42,19.7,14.7,7.2,4.4,4.9,20.2,0,2.3,2000-01
612,0.537,97.3,36.9,81.1,45.6,5.7,14.3,39.9,17.7,24.2,73.2,12.2,29.5,41.7,21.9,15.3,8,5,6.2,21.1,0.1,0,2000-01
613,0.524,97.5,36.7,83.8,43.8,6,16.4,36.4,18,25.2,71.4,13,29.9,42.9,22,15.2,8.2,5.9,5.4,25.3,0.1,1,2000-01
614,0.5,92.6,34.5,78.4,44,4.8,14.1,34.2,18.8,24.5,76.6,11.2,31.6,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1,-0.2,2000-01
615,0.488,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24,73.7,12.7,31.5,44.2,24,13.9,6.7,6.6,6.1,22.2,0,-2.5,2000-01
616,0.439,94.6,33.8,79.1,42.8,7.2,19.9,36.3,19.8,26.7,74,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0,-2.1,2000-01
617,0.39,95.6,35.6,83.9,42.4,4.7,13.6,35,19.6,27.2,72.1,13.5,32,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1,-1.7,2000-01
618,0.378,92.5,35.3,78.9,44.8,4.4,13,33.9,17.4,25.1,69.3,11.7,31.2,42.9,19.3,15.8,6,6.3,5,21.6,0,-2.9,2000-01
619,0.366,92.2,35.2,79.7,44.2,2.7,8,33.4,19,24.9,76.5,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1,-4.2,2000-01
620,0.317,92.1,33.9,79.9,42.5,4.4,13.2,33.3,19.9,26.2,75.9,11.1,28.5,39.6,19.5,14.7,7.9,5,6.4,24.2,0,-5,2000-01
621,0.305,91,35.1,81.3,43.1,4.1,11.4,35.7,16.8,22.1,75.9,12.5,30.4,42.9,19,16.7,7.7,4.7,6.3,22.7,0.1,-5.2,2000-01
622,0.28,91.7,35,79.7,43.9,4,11.5,34.3,17.8,23.1,77,10.9,29.6,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.1,-5.7,2000-01
623,0.232,93.2,34.5,78.7,43.9,3.4,10.3,32.4,20.8,27.4,75.9,12.4,28.9,41.3,20.1,17,7.7,4.7,6.2,23.3,0.1,-6.7,2000-01
624,0.207,92.5,35.8,87.5,40.9,3.4,11.8,29.3,17.4,24.7,70.6,16.4,29.1,45.5,21.8,15.9,9,5,6,21.1,0.1,-9,2000-01
625,0.183,87.6,33.2,78.2,42.4,4,11.6,34.6,17.2,23.3,73.9,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0,-9.1,2000-01
